01George Washington
02John Adams
03Thomas Jefferson
04James Madison
05James Monroe
06John Quincy Adams
07Andrew Jackson
08Martin Van Buren
09William H. Harrison
10John Tyler
11James K. Polk
12Zachary Taylor
13Millard Fillmore
14Franklin Pierce
15James Buchanan
16Abraham Lincoln
17Andrew Johnson
18Ulysses S. Grant
19Rutherford B. Hayes
20James A. Garfield
21Chester A. Arthur
22Grover Cleveland
23Benjamin Harrison
24Grover Cleveland
25William McKinley
26Theodore Roosevelt
27William H. Taft
28Woodrow Wilson
29Warren G. Harding
30Calvin Coolidge
31Herbert Hoover
32Franklin D. Roosevelt
33Harry Truman
34Dwight D. Eisenhower
35John F. Kennedy
36Lyndon B. Johnson
37Richard M. Nixon
38Gerald R. Ford
39James E. Carter
40Ronald Reagan
41George Bush
42William Jefferson Clinton
43George Bush
44Barack Obama
45Donald Trump
